File Server,Access Path,SID,Permissions
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\HUDSON\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\IKKS,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\IKKS\BON FICHIER,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\IRO\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\J BRAND,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\LAB DIP,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\LAB DIP\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\LE TEMPS DES CERISES,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\LEE,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\LES PETITES\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
